epoch,step,train_acc,train_aon,train_loss,train_mvc_s,val_acc,val_aon,val_loss,val_mvc_s
0,49,1.0,1.0,0.26370006799697876,20.0,,,,
0,99,0.800000011920929,0.0,0.48365798592567444,20.0,,,,
0,149,0.699999988079071,0.0,0.5880559682846069,21.0,,,,
0,199,0.699999988079071,0.0,0.41718024015426636,5.0,,,,
0,249,0.699999988079071,0.0,0.4993326663970947,19.0,,,,
0,299,0.6000000238418579,0.0,0.512895405292511,18.0,,,,
0,349,0.800000011920929,0.0,0.42594438791275024,22.0,,,,
0,399,0.6000000238418579,0.0,0.7330920696258545,8.0,,,,
0,449,0.699999988079071,0.0,0.6561508774757385,19.0,,,,
0,499,0.800000011920929,0.0,0.4410570561885834,12.0,,,,
0,549,0.6000000238418579,0.0,0.8323604464530945,20.0,,,,
0,599,0.800000011920929,0.0,0.5199416875839233,8.0,,,,
0,649,0.6000000238418579,0.0,0.6820694804191589,22.0,,,,
0,699,0.699999988079071,0.0,0.42489880323410034,21.0,,,,
0,749,0.8999999761581421,0.0,0.24895811080932617,21.0,,,,
0,799,0.6000000238418579,0.0,0.6038944125175476,12.0,,,,
0,849,0.800000011920929,0.0,0.37585726380348206,14.0,,,,
0,899,0.699999988079071,0.0,0.47738534212112427,15.0,,,,
0,949,1.0,1.0,0.21166948974132538,20.0,,,,
0,999,0.699999988079071,0.0,0.5798375010490417,17.0,,,,
0,1049,0.800000011920929,0.0,0.460826575756073,20.0,,,,
0,1099,1.0,1.0,0.21431350708007812,20.0,,,,
0,1149,0.6000000238418579,0.0,0.850554347038269,22.0,,,,
0,1199,0.8999999761581421,0.0,0.3260965943336487,17.0,,,,
0,1249,0.699999988079071,0.0,0.46036505699157715,21.0,,,,
0,1299,1.0,1.0,0.2441008985042572,20.0,,,,
0,1349,0.800000011920929,0.0,0.4950792193412781,22.0,,,,
0,1399,0.30000001192092896,0.0,0.9510928988456726,23.0,,,,
0,1449,0.699999988079071,0.0,0.5071803331375122,5.0,,,,
0,1499,0.6000000238418579,0.0,1.0099308490753174,16.0,,,,
0,1549,0.699999988079071,0.0,0.5427367687225342,23.0,,,,
0,1599,0.699999988079071,0.0,0.5761509537696838,21.0,,,,
0,1649,1.0,1.0,0.21913115680217743,20.0,,,,
0,1699,0.800000011920929,0.0,0.2754266858100891,22.0,,,,
0,1749,0.699999988079071,0.0,0.5242494940757751,19.0,,,,
0,1799,0.8999999761581421,0.0,0.7406147718429565,19.0,,,,
0,1849,0.800000011920929,0.0,0.4193599820137024,22.0,,,,
0,1899,0.8999999761581421,0.0,0.20802311599254608,3.0,,,,
0,1949,0.699999988079071,0.0,0.43287426233291626,9.0,,,,
0,1999,0.800000011920929,0.0,0.4503006935119629,18.0,,,,
0,2049,1.0,1.0,0.21647286415100098,16.0,,,,
0,2099,0.8999999761581421,0.0,0.25031304359436035,21.0,,,,
0,2149,0.800000011920929,0.0,0.39872995018959045,20.0,,,,
0,2199,0.8999999761581421,0.0,0.13228808343410492,21.0,,,,
0,2249,0.699999988079071,0.0,0.5292834639549255,23.0,,,,
0,2299,0.6000000238418579,0.0,0.7422448396682739,22.0,,,,
0,2349,0.4000000059604645,0.0,0.7106366157531738,18.0,,,,
0,2399,0.699999988079071,0.0,0.5376670956611633,-3.0,,,,
0,2449,1.0,1.0,0.03480123355984688,0.0,,,,
0,2499,0.6000000238418579,0.0,0.9133108258247375,22.0,,,,
