epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.6000000238418579,0.6372287273406982,,
0,99,0.800000011920929,0.5944186449050903,,
0,149,1.0,0.2953704595565796,,
0,199,0.800000011920929,0.48306578397750854,,
0,249,0.8999999761581421,0.3133276402950287,,
0,299,0.699999988079071,0.5510482788085938,,
0,349,0.800000011920929,0.43492555618286133,,
0,399,0.8999999761581421,0.41863852739334106,,
0,449,1.0,0.2331862896680832,,
0,499,0.8999999761581421,0.21905985474586487,,
0,549,0.8999999761581421,0.15769311785697937,,
0,599,0.5,0.6256917715072632,,
0,649,0.800000011920929,0.4600755572319031,,
0,699,1.0,0.2017793208360672,,
0,749,1.0,0.2241823673248291,,
0,799,0.6000000238418579,0.9782913327217102,,
0,849,1.0,0.22652199864387512,,
0,899,0.8999999761581421,0.276557981967926,,
0,949,0.800000011920929,0.6420835256576538,,
0,999,0.8999999761581421,0.281670480966568,,
0,1049,1.0,0.16416144371032715,,
0,1099,0.699999988079071,0.5102982521057129,,
0,1149,0.6000000238418579,0.7413221597671509,,
0,1199,0.800000011920929,0.4756034314632416,,
0,1249,0.8999999761581421,0.3101525604724884,,
0,1299,1.0,0.2540615200996399,,
0,1349,0.800000011920929,0.4669499397277832,,
0,1399,0.8999999761581421,0.3949114978313446,,
0,1449,0.8999999761581421,0.1951846182346344,,
0,1499,0.699999988079071,0.46122997999191284,,
0,1549,0.8999999761581421,0.21055713295936584,,
0,1599,0.699999988079071,0.6564736366271973,,
0,1649,0.699999988079071,0.4696928560733795,,
0,1699,0.8999999761581421,0.2352169305086136,,
0,1749,0.8999999761581421,0.2659537196159363,,
0,1799,0.6000000238418579,0.6894075274467468,,
0,1849,0.6000000238418579,0.6327844262123108,,
0,1899,0.5,0.7391259670257568,,
0,1949,0.800000011920929,0.46476858854293823,,
0,1999,0.6000000238418579,0.7054539918899536,,
0,2049,0.699999988079071,0.5978865623474121,,
0,2099,0.8999999761581421,0.42872923612594604,,
0,2149,0.699999988079071,0.5013181567192078,,
0,2199,0.6000000238418579,0.7129036784172058,,
0,2249,1.0,0.21098843216896057,,
0,2299,0.699999988079071,0.694301962852478,,
0,2349,0.6000000238418579,0.7933765649795532,,
0,2399,1.0,0.2527550756931305,,
0,2449,0.8999999761581421,0.22276289761066437,,
0,2499,0.699999988079071,0.37913650274276733,,
0,2549,0.8999999761581421,0.6217440366744995,,
0,2599,0.699999988079071,0.563502848148346,,
0,2649,0.699999988079071,0.4693642258644104,,
0,2699,0.800000011920929,0.3897700011730194,,
0,2749,0.6000000238418579,0.5892246961593628,,
0,2799,1.0,0.2655070424079895,,
0,2849,0.699999988079071,0.5246015787124634,,
0,2899,0.699999988079071,0.5656489133834839,,
0,2949,1.0,0.15157778561115265,,
0,2999,0.800000011920929,0.4605160653591156,,
0,3049,0.6000000238418579,0.7551406621932983,,
0,3099,0.800000011920929,0.294992059469223,,
0,3149,0.8999999761581421,0.33466750383377075,,
0,3199,0.800000011920929,0.6386055946350098,,
0,3249,0.6000000238418579,0.8955541849136353,,
0,3299,0.699999988079071,0.5934839844703674,,
0,3349,0.800000011920929,0.5471333861351013,,
0,3399,0.6000000238418579,0.6184793710708618,,
0,3449,0.30000001192092896,0.8770931363105774,,
0,3499,0.699999988079071,0.5269758105278015,,
0,3549,0.8999999761581421,0.49520254135131836,,
