epoch,step,train_acc,train_aon,train_loss
0,49,0.8999999761581421,0.0,0.4029988646507263
0,99,0.6000000238418579,0.0,0.5497006177902222
0,149,0.8999999761581421,0.0,0.2588391900062561
0,199,1.0,1.0,0.17499078810214996
0,249,1.0,1.0,0.1837354600429535
0,299,0.699999988079071,0.0,0.5581919550895691
0,349,0.6000000238418579,0.0,0.8639273643493652
0,399,0.8999999761581421,0.0,0.4248337745666504
0,449,0.6000000238418579,0.0,0.8257911801338196
0,499,0.699999988079071,0.0,0.31974539160728455
0,549,0.800000011920929,0.0,0.4001620411872864
0,599,0.30000001192092896,0.0,1.4636800289154053
0,649,0.800000011920929,0.0,0.34975677728652954
0,699,0.699999988079071,0.0,0.5607980489730835
0,749,0.800000011920929,0.0,0.3762282729148865
0,799,0.6000000238418579,0.0,0.756440281867981
0,849,0.5,0.0,0.8012319803237915
0,899,0.8999999761581421,0.0,0.31306010484695435
0,949,0.800000011920929,0.0,0.4111197590827942
0,999,1.0,1.0,0.19735415279865265
0,1049,0.800000011920929,0.0,0.4449823498725891
0,1099,0.6000000238418579,0.0,0.6116520166397095
0,1149,0.6000000238418579,0.0,0.5163434147834778
0,1199,0.800000011920929,0.0,0.8289543390274048
0,1249,0.6000000238418579,0.0,0.5181320309638977
0,1299,0.699999988079071,0.0,0.6631211042404175
0,1349,0.8999999761581421,0.0,0.26651427149772644
0,1399,0.8999999761581421,0.0,0.32382890582084656
0,1449,0.800000011920929,0.0,0.3057446777820587
0,1499,0.699999988079071,0.0,0.492258220911026
0,1549,0.5,0.0,0.5605877637863159
0,1599,0.8999999761581421,0.0,0.17289304733276367
0,1649,0.800000011920929,0.0,0.5858068466186523
0,1699,0.800000011920929,0.0,0.26925963163375854
0,1749,0.6000000238418579,0.0,0.48750343918800354
0,1799,0.6000000238418579,0.0,0.5190409421920776
0,1849,0.6000000238418579,0.0,0.8055011630058289
0,1899,0.6000000238418579,0.0,0.5248286128044128
0,1949,0.8999999761581421,0.0,0.3287554383277893
0,1999,0.6000000238418579,0.0,0.6157897114753723
